pattern,unit,book
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are action films boring or interesting?,UNIT 1,Book 7
Have you watched this action film?,UNIT 1,Book 7
What do you think of action films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are adventure films boring or interesting?,UNIT 1,Book 7
Have you watched this adventure film?,UNIT 1,Book 7
What do you think of adventure films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Have you watched this animation film?,UNIT 1,Book 7
What do you think of animation films?,UNIT 1,Book 7
What is your favourite animation film?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are comedy films boring or interesting?,UNIT 1,Book 7
Have you watched this comedy film?,UNIT 1,Book 7
What do you think of comedy films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are detective films boring or interesting?,UNIT 1,Book 7
Have you watched this detective film?,UNIT 1,Book 7
What do you think of detective films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are disaster films boring or interesting?,UNIT 1,Book 7
Have you watched this disaster film?,UNIT 1,Book 7
What do you think of disaster films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Have you watched this family film?,UNIT 1,Book 7
What do you think of family films?,UNIT 1,Book 7
What is your favourite family film?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are fantasy films boring or interesting?,UNIT 1,Book 7
Have you watched this fantasy film?,UNIT 1,Book 7
What do you think of fantasy films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are historical films boring or interesting?,UNIT 1,Book 7
Have you watched this historical film?,UNIT 1,Book 7
What do you think of historical films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are horror films boring or interesting?,UNIT 1,Book 7
Have you watched these horror films?,UNIT 1,Book 7
What do you think of horror films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are musical films boring or interesting?,UNIT 1,Book 7
Have you watched this musical film?,UNIT 1,Book 7
What do you think of musical films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are pirate films boring or interesting?,UNIT 1,Book 7
Have you watched this pirate film?,UNIT 1,Book 7
What do you think of pirate films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are romantic films boring or interesting?,UNIT 1,Book 7
Have you watched this romantic film?,UNIT 1,Book 7
What do you think of romance films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Have you watched this sci-fi film?,UNIT 1,Book 7
What do you think of sci-fi films?,UNIT 1,Book 7
What is your favourite sci-fi film?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are sports films boring or interesting?,UNIT 1,Book 7
Have you watched this sports film?,UNIT 1,Book 7
What do you think of sports films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are thriller films boring or interesting?,UNIT 1,Book 7
Have you watched this thriller film?,UNIT 1,Book 7
What do you think of thriller films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are war films boring or interesting?,UNIT 1,Book 7
Have you watched this war film?,UNIT 1,Book 7
What do you think of war films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are western films boring or interesting?,UNIT 1,Book 7
Have you watched this western film?,UNIT 1,Book 7
What do you think of western films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are wildlife programs interesting or boring?,UNIT 1,Book 7
Do you watch wildlife programs?,UNIT 1,Book 7
What do you think of wildlife films?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you watch biography films?,UNIT 1,Book 7
Have you watched this biography film?,UNIT 1,Book 7
Who watches biography films at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
